"productkey","productalternatekey","product","color","productcategorykey","category","productsubcategorykey","subcategory"
1,"AR-5381","Adjustable Race","NA",NULL,NULL,NULL,NULL
2,"BA-8327","Bearing Ball","NA",NULL,NULL,NULL,NULL
3,"BE-2349","BB Ball Bearing","NA",NULL,NULL,NULL,NULL
4,"BE-2908","Headset Ball Bearings","NA",NULL,NULL,NULL,NULL
5,"BL-2036","Blade","NA",NULL,NULL,NULL,NULL
6,"CA-5965","LL Crankarm","Black",NULL,NULL,NULL,NULL
7,"CA-6738","ML Crankarm","Black",NULL,NULL,NULL,NULL
8,"CA-7457","HL Crankarm","Black",NULL,NULL,NULL,NULL
9,"CB-2903","Chainring Bolts","Silver",NULL,NULL,NULL,NULL
10,"CN-6137","Chainring Nut","Silver",NULL,NULL,NULL,NULL
11,"CR-7833","Chainring","Black",NULL,NULL,NULL,NULL
12,"CR-9981","Crown Race","NA",NULL,NULL,NULL,NULL
13,"CS-2812","Chain Stays","NA",NULL,NULL,NULL,NULL
14,"DC-8732","Decal 1","NA",NULL,NULL,NULL,NULL
15,"DC-9824","Decal 2","NA",NULL,NULL,NULL,NULL
16,"DT-2377","Down Tube","NA",NULL,NULL,NULL,NULL
17,"EC-M092","Mountain End Caps","NA",NULL,NULL,NULL,NULL
18,"EC-R098","Road End Caps","NA",NULL,NULL,NULL,NULL
19,"EC-T209","Touring End Caps","NA",NULL,NULL,NULL,NULL
20,"FE-3760","Fork End","NA",NULL,NULL,NULL,NULL
21,"FH-2981","Freewheel","Silver",NULL,NULL,NULL,NULL
22,"FW-1000","Flat Washer 1","NA",NULL,NULL,NULL,NULL
23,"FW-1200","Flat Washer 6","NA",NULL,NULL,NULL,NULL
24,"FW-1400","Flat Washer 2","NA",NULL,NULL,NULL,NULL
25,"FW-3400","Flat Washer 9","NA",NULL,NULL,NULL,NULL
26,"FW-3800","Flat Washer 4","NA",NULL,NULL,NULL,NULL
27,"FW-5160","Flat Washer 3","NA",NULL,NULL,NULL,NULL
28,"FW-5800","Flat Washer 8","NA",NULL,NULL,NULL,NULL
29,"FW-7160","Flat Washer 5","NA",NULL,NULL,NULL,NULL
30,"FW-9160","Flat Washer 7","NA",NULL,NULL,NULL,NULL
31,"FC-3654","Fork Crown","NA",NULL,NULL,NULL,NULL
32,"FC-3982","Front Derailleur Cage","Silver",NULL,NULL,NULL,NULL
33,"FL-2301","Front Derailleur Linkage","Silver",NULL,NULL,NULL,NULL
34,"GP-0982","Guide Pulley","NA",NULL,NULL,NULL,NULL
35,"GT-0820","LL Grip Tape","NA",NULL,NULL,NULL,NULL
36,"GT-1209","ML Grip Tape","NA",NULL,NULL,NULL,NULL
37,"GT-2908","HL Grip Tape","NA",NULL,NULL,NULL,NULL
38,"HJ-1213","Thin-Jam Hex Nut 9","NA",NULL,NULL,NULL,NULL
39,"HJ-1220","Thin-Jam Hex Nut 10","NA",NULL,NULL,NULL,NULL
40,"HJ-1420","Thin-Jam Hex Nut 1","NA",NULL,NULL,NULL,NULL
41,"HJ-1428","Thin-Jam Hex Nut 2","NA",NULL,NULL,NULL,NULL
42,"HJ-3410","Thin-Jam Hex Nut 15","NA",NULL,NULL,NULL,NULL
43,"HJ-3416","Thin-Jam Hex Nut 16","NA",NULL,NULL,NULL,NULL
44,"HJ-3816","Thin-Jam Hex Nut 5","NA",NULL,NULL,NULL,NULL
45,"HJ-3824","Thin-Jam Hex Nut 6","NA",NULL,NULL,NULL,NULL
46,"HJ-5161","Thin-Jam Hex Nut 3","NA",NULL,NULL,NULL,NULL
47,"HJ-5162","Thin-Jam Hex Nut 4","NA",NULL,NULL,NULL,NULL
48,"HJ-5811","Thin-Jam Hex Nut 13","NA",NULL,NULL,NULL,NULL
49,"HJ-5818","Thin-Jam Hex Nut 14","NA",NULL,NULL,NULL,NULL
50,"HJ-7161","Thin-Jam Hex Nut 7","NA",NULL,NULL,NULL,NULL
51,"HJ-7162","Thin-Jam Hex Nut 8","NA",NULL,NULL,NULL,NULL
52,"HJ-9080","Thin-Jam Hex Nut 12","NA",NULL,NULL,NULL,NULL
